N,P,Overall Time,Speedup,Efficiency
85000000,1,31.81985,1,1
85000000,2,15.938356,1.99643238,0.99821619
85000000,3,10.575864,3.008723448,1.002907816
85000000,4,7.952117,4.001431317,1.000357829
85000000,5,6.380013,4.987427142,0.997485428
85000000,6,5.327798,5.972420501,0.995403417
85000000,7,4.56512,6.970211079,0.99574444
85000000,8,3.97108,8.012895736,1.001611967
85000000,9,3.528282,9.018510992,1.002056777
85000000,10,3.176331,10.01780041,1.001780041
85000000,11,2.888621,11.01558495,1.001416813
85000000,12,2.649393,12.01024159,1.000853466
85000000,13,2.447087,13.00315436,1.000242643
85000000,14,2.273126,13.99827814,0.99987701
85000000,15,2.112475,15.06282915,1.00418861
85000000,16,1.979277,16.07650167,1.004781355
85000000,17,1.86456,17.06560797,1.003859292
85000000,18,1.763173,18.04692449,1.002606916
85000000,19,1.673427,19.01478224,1.000778013
85000000,20,1.591862,19.98907569,0.999453784
85000000,21,1.51507,21.00223092,1.000106234
85000000,22,1.445088,22.01931647,1.000878021
85000000,23,1.383758,22.99524194,0.999793128
85000000,24,1.326138,23.99437313,0.999765547
85000000,25,1.271508,25.02528494,1.001011397
85000000,26,1.223737,26.00219655,1.000084483
85000000,27,1.178317,27.0044903,1.000166308
85000000,28,1.136724,27.99259099,0.999735392
85000000,29,1.098647,28.96276056,0.998715881
85000000,30,1.061071,29.98842679,0.999614226
85000000,31,1.030215,30.88661105,0.996342292
85000000,32,0.994602,31.99254576,0.999767055
85000000,33,0.965844,32.94512364,0.99833708
85000000,34,0.945822,33.64253528,0.989486332
85000000,35,0.908344,35.03061615,1.000874747
85000000,36,0.884255,35.98492516,0.999581255
85000000,37,0.861934,36.9168057,0.997751505
85000000,38,0.839363,37.90952186,0.997618996
85000000,39,0.818533,38.87424209,0.996775438
85000000,40,0.798641,39.84249494,0.996062373
85000000,41,0.788828,40.33813455,0.98385694
85000000,42,0.76421,41.63757344,0.991370796
85000000,43,0.754953,42.14812048,0.980188848
85000000,44,0.740622,42.96368458,0.976447377
85000000,45,0.728504,43.67834631,0.970629918
85000000,46,0.714076,44.56087307,0.968714632
85000000,47,0.702379,45.30296322,0.963892834
85000000,48,0.692711,45.93524572,0.956984286
85000000,49,0.681341,46.70179837,0.953097926
85000000,50,0.673321,47.25806859,0.945161372
85000000,51,0.663543,47.95446565,0.94028364
85000000,52,0.65529,48.55842451,0.933815856
85000000,53,0.641451,49.60604941,0.935963196
85000000,54,0.629915,50.51451386,0.93545396
85000000,55,0.623147,51.06315203,0.928420946
85000000,56,0.61352,51.8644054,0.926150096
85000000,57,0.655585,48.5365742,0.851518846
85000000,58,0.620952,51.2436549,0.883511291
85000000,59,0.703759,45.2141287,0.766341164
85000000,60,0.618419,51.45354525,0.857559088
85000000,61,0.57639,55.20541647,0.905006827
85000000,62,0.660817,48.15228724,0.776649794
