A,H,Transmitted,Absorbed,Reflected
0.01,0.01,0.952,0.001,0.047
0.01,0.02,0.91,0.001,0.089
0.01,0.03,0.862,0.0,0.138
0.01,0.04,0.827,0.001,0.172
0.01,0.05,0.788,0.0,0.212
0.01,0.06,0.782,0.002,0.216
0.01,0.07,0.754,0.0,0.246
0.01,0.08,0.71,0.001,0.289
0.01,0.09,0.705,0.001,0.294
0.01,0.1,0.654,0.002,0.344
0.01,0.11,0.651,0.001,0.348
0.01,0.12,0.608,0.002,0.39
0.01,0.13,0.586,0.0,0.414
0.01,0.14,0.58,0.0,0.42
0.01,0.15,0.561,0.001,0.438
0.01,0.16,0.536,0.001,0.463
0.01,0.17,0.529,0.002,0.469
0.01,0.18,0.492,0.005,0.503
0.01,0.19,0.502,0.003,0.495
0.01,0.2,0.462,0.007,0.531
0.01,0.21,0.448,0.005,0.547
0.01,0.22,0.447,0.004,0.549
0.01,0.23,0.42,0.003,0.577
0.01,0.24,0.441,0.007,0.552
0.01,0.25,0.397,0.001,0.602
0.01,0.26,0.41,0.006,0.584
0.01,0.27,0.392,0.005,0.603
0.01,0.28,0.425,0.002,0.573
0.01,0.29,0.378,0.005,0.617
0.01,0.3,0.376,0.002,0.622
0.01,0.31,0.386,0.002,0.612
0.01,0.32,0.367,0.004,0.629
0.01,0.33,0.376,0.003,0.621
0.01,0.34,0.338,0.005,0.657
0.01,0.35,0.345,0.006,0.649
0.01,0.36,0.338,0.005,0.657
0.01,0.37,0.332,0.007,0.661
0.01,0.38,0.345,0.008,0.647
0.01,0.39,0.318,0.005,0.677
0.01,0.4,0.313,0.006,0.681
0.01,0.41,0.317,0.004,0.679
0.01,0.42,0.309,0.004,0.687
0.01,0.43,0.301,0.007,0.692
0.01,0.44,0.3,0.006,0.694
0.01,0.45,0.287,0.008,0.705
0.01,0.46,0.258,0.009,0.733
0.01,0.47,0.28,0.007,0.713
0.01,0.48,0.256,0.006,0.738
0.01,0.49,0.259,0.004,0.737
0.01,0.5,0.234,0.01,0.756
0.01,0.51,0.249,0.007,0.744
0.01,0.52,0.261,0.008,0.731
0.01,0.53,0.25,0.008,0.742
0.01,0.54,0.23,0.008,0.762
0.01,0.55,0.273,0.007,0.72
0.01,0.56,0.259,0.011,0.73
0.01,0.57,0.235,0.008,0.757
0.01,0.58,0.222,0.011,0.767
0.01,0.59,0.239,0.012,0.749
0.01,0.6,0.208,0.01,0.782
0.01,0.61,0.219,0.01,0.771
0.01,0.62,0.212,0.007,0.781
0.01,0.63,0.228,0.009,0.763
0.01,0.64,0.213,0.007,0.78
0.01,0.65,0.231,0.011,0.758
0.01,0.66,0.212,0.009,0.779
0.01,0.67,0.203,0.013,0.784
0.01,0.68,0.202,0.01,0.788
0.01,0.69,0.214,0.009,0.777
0.01,0.7,0.187,0.012,0.801
0.01,0.71,0.22,0.012,0.768
0.01,0.72,0.198,0.009,0.793
0.01,0.73,0.198,0.013,0.789
0.01,0.74,0.179,0.01,0.811
0.01,0.75,0.179,0.017,0.804
0.01,0.76,0.197,0.009,0.794
0.01,0.77,0.206,0.008,0.786
0.01,0.78,0.188,0.011,0.801
0.01,0.79,0.177,0.016,0.807
0.01,0.8,0.19,0.015,0.795
0.01,0.81,0.178,0.005,0.817
0.01,0.82,0.161,0.008,0.831
0.01,0.83,0.166,0.013,0.821
0.01,0.84,0.18,0.016,0.804
0.01,0.85,0.163,0.014,0.823
0.01,0.86,0.148,0.014,0.838
0.01,0.87,0.168,0.015,0.817
0.01,0.88,0.144,0.013,0.843
0.01,0.89,0.179,0.014,0.807
0.01,0.9,0.162,0.013,0.825
0.01,0.91,0.169,0.014,0.817
0.01,0.92,0.144,0.009,0.847
0.01,0.93,0.151,0.012,0.837
0.01,0.94,0.161,0.017,0.822
0.01,0.95,0.148,0.016,0.836
0.01,0.96,0.175,0.015,0.81
0.01,0.97,0.167,0.018,0.815
0.01,0.98,0.147,0.014,0.839
0.01,0.99,0.142,0.014,0.844
0.01,1.0,0.152,0.02,0.828
0.01,1.01,0.168,0.007,0.825
0.01,1.02,0.144,0.024,0.832
0.01,1.03,0.142,0.013,0.845
0.01,1.04,0.158,0.018,0.824
0.01,1.05,0.127,0.022,0.851
0.01,1.06,0.142,0.018,0.84
0.01,1.07,0.143,0.011,0.846
0.01,1.08,0.111,0.021,0.868
0.01,1.09,0.142,0.023,0.835
0.01,1.1,0.142,0.029,0.829
0.01,1.11,0.121,0.02,0.859
0.01,1.12,0.133,0.021,0.846
0.01,1.13,0.144,0.027,0.829
0.01,1.14,0.136,0.014,0.85
0.01,1.15,0.12,0.014,0.866
0.01,1.16,0.124,0.024,0.852
0.01,1.17,0.126,0.029,0.845
0.01,1.18,0.134,0.016,0.85
0.01,1.19,0.142,0.016,0.842
0.01,1.2,0.119,0.019,0.862
0.01,1.21,0.121,0.022,0.857
0.01,1.22,0.122,0.022,0.856
0.01,1.23,0.109,0.015,0.876
0.01,1.24,0.129,0.023,0.848
0.01,1.25,0.117,0.024,0.859
0.01,1.26,0.124,0.031,0.845
0.01,1.27,0.122,0.02,0.858
0.01,1.28,0.113,0.02,0.867
0.01,1.29,0.112,0.016,0.872
0.01,1.3,0.104,0.023,0.873
0.01,1.31,0.102,0.022,0.876
0.01,1.32,0.111,0.021,0.868
0.01,1.33,0.091,0.025,0.884
0.01,1.34,0.104,0.026,0.87
0.01,1.35,0.095,0.025,0.88
0.01,1.36,0.11,0.034,0.856
0.01,1.37,0.121,0.025,0.854
0.01,1.38,0.11,0.02,0.87
0.01,1.39,0.11,0.034,0.856
0.01,1.4,0.117,0.021,0.862
0.01,1.41,0.105,0.021,0.874
0.01,1.42,0.119,0.025,0.856
0.01,1.43,0.096,0.028,0.876
0.01,1.44,0.091,0.037,0.872
0.01,1.45,0.093,0.029,0.878
0.01,1.46,0.104,0.034,0.862
0.01,1.47,0.104,0.025,0.871
0.01,1.48,0.108,0.018,0.874
0.01,1.49,0.097,0.017,0.886
0.01,1.5,0.111,0.023,0.866
0.01,1.51,0.085,0.016,0.899
0.01,1.52,0.103,0.03,0.867
0.01,1.53,0.088,0.024,0.888
0.01,1.54,0.095,0.029,0.876
0.01,1.55,0.104,0.023,0.873
0.01,1.56,0.1,0.028,0.872
0.01,1.57,0.094,0.018,0.888
0.01,1.58,0.095,0.026,0.879
0.01,1.59,0.097,0.03,0.873
0.01,1.6,0.083,0.02,0.897
0.01,1.61,0.088,0.031,0.881
0.01,1.62,0.079,0.023,0.898
0.01,1.63,0.091,0.019,0.89
0.01,1.64,0.085,0.022,0.893
0.01,1.65,0.075,0.031,0.894
0.01,1.66,0.071,0.031,0.898
0.01,1.67,0.08,0.028,0.892
0.01,1.68,0.079,0.031,0.89
0.01,1.69,0.088,0.033,0.879
0.01,1.7,0.069,0.027,0.904
0.01,1.71,0.082,0.028,0.89
